[2026-01-17 21:30:15] LUT_lookup start: direction=forward, n_size=[1 1], value_size=[1 998]
[2026-01-17 21:30:15] LUT_lookup end.
[2026-01-24 23:23:43] LUT_lookup start: direction=inverse, n_size=[1201 4000], value_size=[1201 4000]
[2026-01-24 23:23:44] n=1: keep all 188166 values unchanged.
[2026-01-24 23:23:45] n=108: 17 below min->0, 0 above max->1, total=42938 (range=[0.0854, 1.0000]).
[2026-01-24 23:23:45] n=109: 29 below min->0, 0 above max->1, total=42135 (range=[0.0850, 1.0000]).
[2026-01-24 23:23:45] n=110: 16 below min->0, 0 above max->1, total=41102 (range=[0.0846, 1.0000]).
[2026-01-24 23:23:45] n=111: 22 below min->0, 0 above max->1, total=40162 (range=[0.0842, 1.0000]).
[2026-01-24 23:23:45] n=112: 15 below min->0, 0 above max->1, total=38780 (range=[0.0838, 1.0000]).
[2026-01-24 23:23:45] n=113: 17 below min->0, 0 above max->1, total=37188 (range=[0.0835, 1.0000]).
[2026-01-24 23:23:45] n=114: 18 below min->0, 0 above max->1, total=35373 (range=[0.0831, 1.0000]).
[2026-01-24 23:23:45] n=115: 14 below min->0, 0 above max->1, total=33242 (range=[0.0827, 1.0000]).
[2026-01-24 23:23:45] n=116: 17 below min->0, 0 above max->1, total=30283 (range=[0.0824, 1.0000]).
[2026-01-24 23:23:45] n=117: 13 below min->0, 0 above max->1, total=27146 (range=[0.0820, 1.0000]).
[2026-01-24 23:23:45] n=118: 10 below min->0, 0 above max->1, total=23477 (range=[0.0817, 1.0000]).
[2026-01-24 23:23:45] n=119: 7 below min->0, 0 above max->1, total=18948 (range=[0.0813, 1.0000]).
[2026-01-24 23:23:45] n=120: 5 below min->0, 0 above max->1, total=13238 (range=[0.0810, 1.0000]).
[2026-01-24 23:23:45] n=121: 1 below min->0, 0 above max->1, total=6538 (range=[0.0806, 1.0000]).
[2026-01-24 23:23:45] LUT_lookup end.
[2026-01-24 23:25:35] LUT_lookup start: direction=forward, n_size=[1 1], value_size=[1201 4000]
[2026-01-24 23:25:36] LUT_lookup end.
[2026-02-08 20:40:16] LUT_lookup start: direction=inverse, n_size=[6400 4400], value_size=[6400 4400]
[2026-02-08 20:40:20] n=1: keep all 1580645 values unchanged.
[2026-02-08 20:40:20] n=2: 185146 below min->0, 0 above max->1, total=1190342 (range=[0.6667, 1.0000]).
[2026-02-08 20:40:20] n=3: 104551 below min->0, 0 above max->1, total=772809 (range=[0.5333, 1.0000]).
[2026-02-08 20:40:20] n=4: 64100 below min->0, 0 above max->1, total=599903 (range=[0.4571, 1.0000]).
[2026-02-08 20:40:20] n=5: 42842 below min->0, 0 above max->1, total=479764 (range=[0.4063, 1.0000]).
[2026-02-08 20:40:21] n=6: 29894 below min->0, 0 above max->1, total=403429 (range=[0.3694, 1.0000]).
[2026-02-08 20:40:21] n=7: 21750 below min->0, 0 above max->1, total=343236 (range=[0.3410, 1.0000]).
[2026-02-08 20:40:21] n=8: 16557 below min->0, 0 above max->1, total=305256 (range=[0.3183, 1.0000]).
[2026-02-08 20:40:21] n=9: 12996 below min->0, 0 above max->1, total=276008 (range=[0.2995, 1.0000]).
[2026-02-08 20:40:21] n=10: 10352 below min->0, 0 above max->1, total=254460 (range=[0.2838, 1.0000]).
[2026-02-08 20:40:21] n=11: 8432 below min->0, 0 above max->1, total=235197 (range=[0.2703, 1.0000]).
[2026-02-08 20:40:21] n=12: 7111 below min->0, 0 above max->1, total=221412 (range=[0.2585, 1.0000]).
[2026-02-08 20:40:21] n=13: 6055 below min->0, 0 above max->1, total=207874 (range=[0.2482, 1.0000]).
[2026-02-08 20:40:21] n=14: 5137 below min->0, 0 above max->1, total=198716 (range=[0.2390, 1.0000]).
[2026-02-08 20:40:22] n=15: 4437 below min->0, 0 above max->1, total=189699 (range=[0.2307, 1.0000]).
[2026-02-08 20:40:22] n=16: 4014 below min->0, 0 above max->1, total=183632 (range=[0.2233, 1.0000]).
[2026-02-08 20:40:22] n=17: 3340 below min->0, 0 above max->1, total=174091 (range=[0.2165, 1.0000]).
[2026-02-08 20:40:22] n=18: 3073 below min->0, 0 above max->1, total=169827 (range=[0.2103, 1.0000]).
[2026-02-08 20:40:22] n=19: 2628 below min->0, 0 above max->1, total=163869 (range=[0.2047, 1.0000]).
[2026-02-08 20:40:22] n=20: 2385 below min->0, 0 above max->1, total=158762 (range=[0.1994, 1.0000]).
[2026-02-08 20:40:22] n=21: 2125 below min->0, 0 above max->1, total=154259 (range=[0.1945, 1.0000]).
[2026-02-08 20:40:22] n=22: 1972 below min->0, 0 above max->1, total=151232 (range=[0.1900, 1.0000]).
[2026-02-08 20:40:22] n=23: 1778 below min->0, 0 above max->1, total=146965 (range=[0.1858, 1.0000]).
[2026-02-08 20:40:22] n=24: 1632 below min->0, 0 above max->1, total=143907 (range=[0.1818, 1.0000]).
[2026-02-08 20:40:23] n=25: 1486 below min->0, 0 above max->1, total=141614 (range=[0.1781, 1.0000]).
[2026-02-08 20:40:23] n=26: 1293 below min->0, 0 above max->1, total=138988 (range=[0.1746, 1.0000]).
[2026-02-08 20:40:23] n=27: 1230 below min->0, 0 above max->1, total=135280 (range=[0.1713, 1.0000]).
[2026-02-08 20:40:23] n=28: 1104 below min->0, 0 above max->1, total=134219 (range=[0.1682, 1.0000]).
[2026-02-08 20:40:23] n=29: 1066 below min->0, 0 above max->1, total=131149 (range=[0.1653, 1.0000]).
[2026-02-08 20:40:23] n=30: 973 below min->0, 0 above max->1, total=129599 (range=[0.1625, 1.0000]).
[2026-02-08 20:40:23] n=31: 942 below min->0, 0 above max->1, total=128049 (range=[0.1598, 1.0000]).
[2026-02-08 20:40:23] n=32: 802 below min->0, 0 above max->1, total=126305 (range=[0.1573, 1.0000]).
[2026-02-08 20:40:23] n=33: 815 below min->0, 0 above max->1, total=123720 (range=[0.1549, 1.0000]).
[2026-02-08 20:40:23] n=34: 762 below min->0, 0 above max->1, total=122095 (range=[0.1525, 1.0000]).
[2026-02-08 20:40:24] n=35: 745 below min->0, 0 above max->1, total=120787 (range=[0.1503, 1.0000]).
[2026-02-08 20:40:24] n=36: 686 below min->0, 0 above max->1, total=119777 (range=[0.1482, 1.0000]).
[2026-02-08 20:40:24] n=37: 699 below min->0, 0 above max->1, total=118432 (range=[0.1462, 1.0000]).
[2026-02-08 20:40:24] n=38: 580 below min->0, 0 above max->1, total=117735 (range=[0.1442, 1.0000]).
